entity_id,sku,libelle,sd_code_sogge,sd_marque,sd_conditionnement,sd_volume,sd_industriel,
36027,c10-1100002007,AQUARIUS ORANGE 33CL BTE X24,,AQUARIUS,BTE,33CL,COCA COLA ENTREPRISE,
36037,c10-1100000253,BURN INSTINCT PET 1L X12,,BURN,PET,1L,COCA COLA ENTREPRISE,
36031,c10-1100000248,BURN BTE 50CL X24,,BURN,BTE,50CL,COCA COLA ENTREPRISE,
36032,c10-1100007092,BURN BTE SLIM 35.5CL X24,,BURN,BTE,35.5L,COCA COLA ENTREPRISE,
36036,c10-1100000252,BURN INSTINCT BTE 25CL X24,,BURN,BTE,25CL,COCA COLA ENTREPRISE,
36028,c10-1100002118,BURN 25CL VP X24,,BURN,BTL,25CL,COCA COLA ENTREPRISE,
36038,c10-1100005666,BURN LEMON ICE  BTE 35.5CL X24,,BURN,BTE,35.5L,COCA COLA ENTREPRISE,
36035,c10-1100000251,BURN ENERGY SHOT PET 5CL X12,,BURN,PET,5CL,COCA COLA ENTREPRISE,
83266,mp-5557,BURN IVP SLEEVE 24X25CL,,BURN,,,COCA COLA ENTREPRISE,
36033,c10-1100000250,BURN DAY BTE 25CL X24,,BURN,BTE,25CL,COCA COLA ENTREPRISE,
36030,c10-1100005271,BURN BTE 35.5CL X24,,BURN,BTE,35.5L,COCA COLA ENTREPRISE,
36034,c10-1100000249,BURN DAY BTE 48.5CL X24,84sogge-1694,BURN,BTE,48.5L,COCA COLA ENTREPRISE,
83262,mp-250780,"BTE BURN REFERMABLE 48,5CL X24",84sogge-1694,BURN,BTE,48.5L,COCA COLA ENTREPRISE,
82123,mp-6241,BTE BURN 24X25CL,87sogge-139,BURN,BTE,25CL,COCA COLA ENTREPRISE,
36029,c10-1100000246,BURN BTE 25CL X24,87sogge-139,BURN,BTE,25CL,COCA COLA ENTREPRISE,
36061,c10-1100005655,CAPRI SUN POMME CERISE POCHE 20CL X10,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36046,c10-1100006893,CAPRI SUN MULTIFRUITS JAUNE BIO 20CL X40,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36059,c10-1100005003,CAPRI SUN PECHE ABRICOT POCHE 20CL X10,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36039,c10-1100005659,CAPRI SUN BANAPPLE POCHE 20CL X10,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36057,c10-1100001703,CAPRI SUN ORANGE POCHE 20CL X40,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36058,c10-1100005654,CAPRI SUN ORANGE POCHE 20CL X5,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36055,c10-1100005658,CAPRI SUN ORANGE POCHE 20CL X12,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36071,c10-1100005346,CAPRI SUN TROPICAL POCHE 20CL X40,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36069,c10-1100001701,CAPRI SUN TEA PEACH POCHE 20CL X10,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36044,c10-1100005653,CAPRI SUN FRUIT ROUGE BIO POCHE 20CL X 5,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36066,c10-1100006270,CAPRI SUN POMME POIRE POCHE 20CL X40,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36070,c10-1100004308,CAPRI SUN TROPICAL POCHE 20CL X10,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36064,c10-1100002813,CAPRI SUN POMME POCHE 20CL X40,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36050,c10-1100005657,CAPRI SUN MULTIVITAMINEE POCHE  20CL X12,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36041,c10-1100005652,CAPRI SUN FC  TROPICAL POCHE 20CL X5,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36056,c10-1100006441,CAPRI SUN ORANGE POCHE 20CL X14,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36045,c10-1100005412,CAPRI SUN FRUIT ROUGE BIO POCHE 20CL X40,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36043,c10-1100005036,CAPRI SUN FRUIT ROUGE BIO POCHE  20CLX10,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36048,c10-1100005661,CAPRI SUN MULTIFRUITS POCHE  20CL X5,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
36060,c10-1100007885,CAPRI SUN PECHE ABRICOT POCHE 20CL X40,,CAPRI SUN,SAC,20CL,COCA COLA ENTREPRISE,
