entity_id,sku,libelle,sd_code_sogge,sd_marque,sd_conditionnement,sd_volume,sd_industriel
75417,c10-1100001511,BOOGY NECTAR BANANE 1L VP X6,,BOOGY,BTL,1L,TEISSEIRE FRANCE S.A.S
75414,c10-1100001483,BOOGY ABC ORANGE 1L VP X6,,BOOGY,BTL,1L,TEISSEIRE FRANCE S.A.S
75419,c10-1100001580,BOOGY PJ POMME 1L VP X6,,BOOGY,BTL,1L,TEISSEIRE FRANCE S.A.S
75416,c10-1100001514,BOOGY NECTAR ANANAS 1L VP X6,,BOOGY,BTL,1L,TEISSEIRE FRANCE S.A.S
75413,c10-1100001482,BOOGY ABC EXOTIQUE 1L VP X6,,BOOGY,BTL,1L,TEISSEIRE FRANCE S.A.S
75418,c10-1100001513,BOOGY NECTAR PAMPLEMOUSSE 1L VP X6,,BOOGY,BTL,1L,TEISSEIRE FRANCE S.A.S
75415,c10-1100001512,BOOGY NECTAR ABRICOT 1L VP X6,,BOOGY,BTL,1L,TEISSEIRE FRANCE S.A.S
75455,c10-1100003051,CAPUCINE SIROP MENTHE VERTE 1L,,CAPUCINE,BTL,1L,TEISSEIRE FRANCE S.A.S
75433,c10-1100003035,CAPUCINE NECTAR ACE 25CL VP X24,,CAPUCINE,BTL,25CL,TEISSEIRE FRANCE S.A.S
75430,c10-1100003065,CAPUCINE CERISE1L VP X6,,CAPUCINE,BTL,1L,TEISSEIRE FRANCE S.A.S
75446,c10-1100004030,CAPUCINE SIROP CASSIS 1L,,CAPUCINE,BTL,1L,TEISSEIRE FRANCE S.A.S
75440,c10-1100003044,CAPUCINE PJ RAISIN BLC BIO 25CL VP X24,,CAPUCINE,BTL,25CL,TEISSEIRE FRANCE S.A.S
75459,c10-1100003055,CAPUCINE SIROP PECHE 1L,,CAPUCINE,BTL,1L,TEISSEIRE FRANCE S.A.S
75445,c10-1100003030,CAPUCINE SIROP CARAMEL 1L,,CAPUCINE,BTL,1L,TEISSEIRE FRANCE S.A.S
75450,c10-1100003076,CAPUCINE SIROP COCO 1L,,CAPUCINE,BTL,1L,TEISSEIRE FRANCE S.A.S
