entity_id,sku,libelle,sd_code_sogge,sd_marque,sd_industriel,vendor_prefix,vendor_name
70935,c10-1200053885,"TEMP VODKA ABSOLUT 40° 70CL X6 ED. LIM.",87sogge-7,ABSOLUT,RICARD,c10,C10
70936,c10-1200017576,"VODKA ABSOLUT 4.5L",,ABSOLUT,RICARD,c10,C10
70937,c10-1200001473,"VODKA ABSOLUT 40° 1.5L",84sogge-1667,ABSOLUT,RICARD,c10,C10
70938,c10-1200056693,"VODKA ABSOLUT 40° 1L",,ABSOLUT,RICARD,c10,C10
70939,c10-1200001472,"VODKA ABSOLUT 40° 35CL",,ABSOLUT,RICARD,c10,C10
70940,c10-1200001478,"VODKA ABSOLUT 40° 5CL X120",84sogge-541,ABSOLUT,RICARD,c10,C10
70941,c10-1200001479,"VODKA ABSOLUT 40° 70CL",,ABSOLUT,RICARD,c10,C10
70942,c10-1200040047,"VODKA ABSOLUT 50CL",,ABSOLUT,RICARD,c10,C10
70943,c10-1200030639,"VODKA ABSOLUT APEACH 40° 1L",,ABSOLUT,RICARD,c10,C10
70944,c10-1200006590,"VODKA ABSOLUT APEACH 40° 70CL",,ABSOLUT,RICARD,c10,C10
70945,c10-1200010769,"VODKA ABSOLUT BERRI ACAI 40° 1L",,ABSOLUT,RICARD,c10,C10
84478,fb-11212,"VODKA ABSOLUT BLUE (SUEDE) 40°      70CL",84sogge-467,ABSOLUT,RICARD,fb,"FRANCE BOISSONS"
84578,fb-11392,"VODKA ABSOLUT BLUE (SUEDE) 40°  MIGN 5CL",84sogge-541,ABSOLUT,RICARD,fb,"FRANCE BOISSONS"
83178,mp-150810,"VODKA ABSOLUT BLUE 100 CL40°",,ABSOLUT,RICARD,mp,DISTRIBOISSONS
70946,c10-1200033703,"VODKA ABSOLUT CASSIS 40° 1L",,ABSOLUT,RICARD,c10,C10
70947,c10-1200005860,"VODKA ABSOLUT CITRON 40° 70CL",84sogge-1590,ABSOLUT,RICARD,c10,C10
70948,c10-1200007399,"VODKA ABSOLUT DARK 100 70CL",,ABSOLUT,RICARD,c10,C10
84479,fb-110232,"VODKA ABSOLUT EDI LIMITEE      40° 70 CL",87sogge-7,ABSOLUT,RICARD,fb,"FRANCE BOISSONS"
70949,c10-1200044405,"VODKA ABSOLUT ELYX 42.3° 1.5L",,ABSOLUT,RICARD,c10,C10
70950,c10-1200047311,"VODKA ABSOLUT ELYX 42.3° 1.75L",,ABSOLUT,RICARD,c10,C10
70951,c10-1200044403,"VODKA ABSOLUT ELYX 42.3° 3L",,ABSOLUT,RICARD,c10,C10
70952,c10-1200049917,"VODKA ABSOLUT ELYX 42.3° 4.5L",,ABSOLUT,RICARD,c10,C10
70953,c10-1200038738,"VODKA ABSOLUT ELYX 42.3° 70CL",84sogge-5,ABSOLUT,RICARD,c10,C10
84480,fb-109632,"VODKA ABSOLUT ELYX 42°3 (6)         70CL",84sogge-5,ABSOLUT,RICARD,fb,"FRANCE BOISSONS"
84313,fb-109634,"VODKA ABSOLUT ELYX 42°3 (6)       175 CL",,ABSOLUT,RICARD,fb,"FRANCE BOISSONS"
70954,c10-1200031598,"VODKA ABSOLUT FRAMBOISE 40° 1L",,ABSOLUT,RICARD,c10,C10
70955,c10-1200005863,"VODKA ABSOLUT KURANT 40° 70CL",,ABSOLUT,RICARD,c10,C10
84481,fb-112466,"VODKA ABSOLUT LIME 40°              70CL",84sogge-346,ABSOLUT,RICARD,fb,"FRANCE BOISSONS"
70956,c10-1200052771,"VODKA ABSOLUT LIME 40° 70CL",84sogge-346,ABSOLUT,RICARD,c10,C10
70957,c10-1200025915,"VODKA ABSOLUT MANDARINE 40° 1L",,ABSOLUT,RICARD,c10,C10
70958,c10-1200005861,"VODKA ABSOLUT MANDARINE 40° 70CL",,ABSOLUT,RICARD,c10,C10
70959,c10-1200006591,"VODKA ABSOLUT MANGO 40° 70CL",,ABSOLUT,RICARD,c10,C10
84314,fb-111362,"VODKA ABSOLUT NIGHT               175 CL",,ABSOLUT,RICARD,fb,"FRANCE BOISSONS"
70960,c10-1200042993,"VODKA ABSOLUT NIGHT 40° 1.75L",,ABSOLUT,RICARD,c10,C10
70961,c10-1200006592,"VODKA ABSOLUT PEARS 40° 70CL",,ABSOLUT,RICARD,c10,C10
70962,c10-1200005862,"VODKA ABSOLUT PEPPAR 40° 70CL",,ABSOLUT,RICARD,c10,C10
70963,c10-1200013536,"VODKA ABSOLUT PEPPAR 50CL",,ABSOLUT,RICARD,c10,C10
70964,c10-1200010771,"VODKA ABSOLUT PREMIUM LEVEL 40° 70CL",,ABSOLUT,RICARD,c10,C10
70965,c10-1200006746,"VODKA ABSOLUT RASPBERRI 40° 70CL X6",86sogge-361,ABSOLUT,RICARD,c10,C10
70966,c10-1200044239,"VODKA ABSOLUT RUBY RED I 40° 70CL X6",,ABSOLUT,RICARD,c10,C10
83116,mp-246,"VODKA ABSOLUT VANILIA 70CL40°",,ABSOLUT,RICARD,mp,DISTRIBOISSONS
70967,c10-1200006741,"VODKA ABSOLUT VANILLA 40° 70CL",,ABSOLUT,RICARD,c10,C10
84482,fb-62785,"VODKA ABSOLUT VANILLE 40°           70CL",,ABSOLUT,RICARD,fb,"FRANCE BOISSONS"
70968,c10-1200043432,"VODKA ABSOLUT WILD TEA 40° 70CL",,ABSOLUT,RICARD,c10,C10
70969,c10-1200011988,"VODKA ALTAI 40° 70CL",,ALTAI,RICARD,c10,C10
70970,c10-1200045222,"COGNAC AUGIER OCEANIQUE 40° 70CL",,AUGIER,RICARD,c10,C10
70971,c10-1200045223,"COGNAC AUGIER SAUVAGE 40° 70CL",,AUGIER,RICARD,c10,C10
70972,c10-1200045224,"COGNAC AUGIER SINGULIER 41.7° 70CL",,AUGIER,RICARD,c10,C10
82837,mp-260334,"COGNAC AUGIER VS 40° 70CL",84sogge-440,AUGIER,RICARD,mp,DISTRIBOISSONS
70973,c10-1200008516,"COGNAC AUGIER VS 40° 70CL",84sogge-440,AUGIER,RICARD,c10,C10
84366,fb-97007,"COGNAC VS AUGIER  40°               70CL",84sogge-440,AUGIER,RICARD,fb,"FRANCE BOISSONS"
84467,fb-109638,"TEQUILA AVION ANEJO 40°            70CL",84sogge-589,AVION,RICARD,fb,"FRANCE BOISSONS"
70974,c10-1200029202,"TEQUILA AVION ANEJO 70CL",84sogge-589,AVION,RICARD,c10,C10
70975,c10-1200029200,"TEQUILA AVION REPOSADO 70CL",,AVION,RICARD,c10,C10
70976,c10-1200029201,"TEQUILA AVION SILVER 70CL",,AVION,RICARD,c10,C10
82838,mp-952,"CALVADOS BEAUJOUR 100 CL 40°",,BEAUJOUR,RICARD,mp,DISTRIBOISSONS
86346,fb-14281,"CALVADOS BEAUJOUR 40° (6)          100CL",,BEAUJOUR,RICARD,fb,"FRANCE BOISSONS"
70977,c10-1200001437,"CALVADOS BEAUJOUR 40° 1L",,BEAUJOUR,RICARD,c10,C10
70978,c10-1200026975,"BECHEROVKA 38° 70CL",,BECHEROVKA,RICARD,c10,C10
84382,fb-109640,"GIN BEEFEATER 24  45°               70CL",84sogge-63,BEEFEATER,RICARD,fb,"FRANCE BOISSONS"
70979,c10-1200021573,"GIN BEEFEATER 24 45° 70CL",84sogge-63,BEEFEATER,RICARD,c10,C10
70980,c10-1200001475,"GIN BEEFEATER 40° 1.5L",,BEEFEATER,RICARD,c10,C10
70981,c10-1200019673,"GIN BEEFEATER 40° 2L",,BEEFEATER,RICARD,c10,C10
70982,c10-1200008244,"GIN BEEFEATER 40° 35CL",,BEEFEATER,RICARD,c10,C10
70983,c10-1200001471,"GIN BEEFEATER 40° 4.5L",,BEEFEATER,RICARD,c10,C10
70984,c10-1200037364,"GIN BEEFEATER 40° 5CL",,BEEFEATER,RICARD,c10,C10
70985,c10-1200001476,"GIN BEEFEATER 40° 70CL",84sogge-539,BEEFEATER,RICARD,c10,C10
83118,mp-1166,"GIN BEEFEATER 70  CL 40°",84sogge-539,BEEFEATER,RICARD,mp,DISTRIBOISSONS
70986,c10-1200051097,"GIN BEEFEATER BURROUGH'S RES 70CL",,BEEFEATER,RICARD,c10,C10
84383,fb-11385,"GIN BEEFEATER DRY 40°               70CL",84sogge-539,BEEFEATER,RICARD,fb,"FRANCE BOISSONS"
70987,c10-1200052064,"VERRES PISCINE BEEFEATER X6",,BEEFEATER,RICARD,c10,C10
70988,c10-1200025267,"WH SCO BENRIACH 10A 70CL",,BENRIACH,RICARD,c10,C10
70989,c10-1200026487,"WH SCO BENRIACH 16A 70CL",,BENRIACH,RICARD,c10,C10
70990,c10-1200023231,"WH SCO BENRIACH ARUMATICUS 12A 70CL",,BENRIACH,RICARD,c10,C10
70991,c10-1200001440,"COGNAC BISQUIT 40° 3CL X12",,BISQUIT,RICARD,c10,C10
82826,mp-961,"COGNAC BISQUIT 70 CL 40°",,BISQUIT,RICARD,mp,DISTRIBOISSONS
70992,c10-1200001441,"COGNAC BISQUIT CLASSIQUE 40° 70CL",,BISQUIT,RICARD,c10,C10
70993,c10-1200045344,"COGNAC BISQUIT LEGEND 40° 70CL",,BISQUIT,RICARD,c10,C10
70994,c10-1200024611,"COGNAC BISQUIT NAPOLEON 40° 1.5L",,BISQUIT,RICARD,c10,C10
70995,c10-1200044561,"COGNAC BISQUIT NAPOLEON 40° 70CL",,BISQUIT,RICARD,c10,C10
70996,c10-1200013058,"COGNAC BISQUIT VS 40° 70CL",,BISQUIT,RICARD,c10,C10
70997,c10-1200001988,"COGNAC BISQUIT VSOP 40° 70CL",84sogge-1660,BISQUIT,RICARD,c10,C10
70998,c10-1200001439,"COGNAC BISQUIT XO 40° 70CL",,BISQUIT,RICARD,c10,C10
70999,c10-1200040111,"COGNAC BISQUIT XXX 70CL",,BISQUIT,RICARD,c10,C10
71000,c10-1200052079,"WH SCO BLACK MOUNTAIN BLEND 40° 70CL",,"BLACK MOUNTAIN",RICARD,c10,C10
71001,c10-1200050576,"WH SCO BLACK MOUNTAIN NOTES FUMEES 70CL",,"BLACK MOUNTAIN",RICARD,c10,C10
71002,c10-1200019661,"BUSNEL CREME CALVADOS 17° 70CL",,BUSNEL,RICARD,c10,C10
71003,c10-1200027625,"CALVADOS BUSNEL 49° 70CL",,BUSNEL,RICARD,c10,C10
71004,c10-1200020563,"CALVADOS BUSNEL HORS AGE 50CL",,BUSNEL,RICARD,c10,C10
71005,c10-1200050938,"CALVADOS BUSNEL HORS AGE 70CL",,BUSNEL,RICARD,c10,C10
71006,c10-1200007209,"CALVADOS BUSNEL VS 40° 3CL",,BUSNEL,RICARD,c10,C10
71007,c10-1200002790,"CALVADOS BUSNEL VSOP 40° 70CL",84sogge-1606,BUSNEL,RICARD,c10,C10
71008,c10-1200001653,"POMMEAU BUSNEL 17° 37.5CL",,BUSNEL,RICARD,c10,C10
71009,c10-1200031716,"EDV CANTAGAS MARC 1L",,CANTAGAS,RICARD,c10,C10
83011,mp-1089,"CHIVAS REGAL 12 ANS 70 CL 40°",84sogge-124,"CHIVAS REGAL",RICARD,mp,DISTRIBOISSONS
82998,mp-4130,"CHIVAS REGAL 18 ANS 70 CL 40°",84sogge-94,"CHIVAS REGAL",RICARD,mp,DISTRIBOISSONS
71010,c10-1200001462,"COF WH SCO CHIVAS 1.5L",,"CHIVAS REGAL",RICARD,c10,C10
71011,c10-1200053524,"PLF WH SCO CHIVAS MIZUNARA 40°70CL ETUI",,"CHIVAS REGAL",RICARD,c10,C10
71012,c10-1200020695,"WH SCO CHIVAS LACROIX 40° 1.5L",,"CHIVAS REGAL",RICARD,c10,C10
71013,c10-1200034848,"WH SCO CHIVAS LACROIX 40° 2L",,"CHIVAS REGAL",RICARD,c10,C10
71014,c10-1200027753,"WH SCO CHIVAS PININFARINA 18A 40° 70CL",,"CHIVAS REGAL",RICARD,c10,C10
71015,c10-1200017587,"WH SCO CHIVAS REGAL 12A 40° 1.5L",,"CHIVAS REGAL",RICARD,c10,C10
71016,c10-1200028814,"WH SCO CHIVAS REGAL 12A 40° 35CL",,"CHIVAS REGAL",RICARD,c10,C10
71017,c10-1200022988,"WH SCO CHIVAS REGAL 12A 40° 4.5L",,"CHIVAS REGAL",RICARD,c10,C10
71018,c10-1200001463,"WH SCO CHIVAS REGAL 12A 40° 5CL",84sogge-205,"CHIVAS REGAL",RICARD,c10,C10
71019,c10-1200001987,"WH SCO CHIVAS REGAL 12A 40° 70CL",84sogge-124,"CHIVAS REGAL",RICARD,c10,C10
71020,c10-1200011890,"WH SCO CHIVAS REGAL 12A 50CL + 18A 50CL",,"CHIVAS REGAL",RICARD,c10,C10
71021,c10-1200001460,"WH SCO CHIVAS REGAL 18A 40° 70CL",84sogge-94,"CHIVAS REGAL",RICARD,c10,C10
71022,c10-1200028154,"WH SCO CHIVAS REGAL 25A  ETUI 40° 70CL",84sogge-61,"CHIVAS REGAL",RICARD,c10,C10
71023,c10-1200047791,"WH SCO CHIVAS REGAL EXTRA 40° 70CL",,"CHIVAS REGAL",RICARD,c10,C10
71024,c10-1200049406,"WH SCO CHIVAS REGAL MIZUNARA  40° 70CL",,"CHIVAS REGAL",RICARD,c10,C10
71025,c10-1200015637,"WH SCO CHIVAS REGAL SALUTE 62 GUN 43° 1L",,"CHIVAS REGAL",RICARD,c10,C10
71026,c10-1200057043,"WH SCO CHIVAS REGAL ULTIS 40° 70CL",,"CHIVAS REGAL",RICARD,c10,C10
71027,c10-1200006589,"WH SCO CHIVAS ROYAL SALUTE 21A 70CL",,"CHIVAS REGAL",RICARD,c10,C10
71028,c10-1200010774,"WH SCO CHIVAS ROYAL SALUTE 38A 40° 70CL",,"CHIVAS REGAL",RICARD,c10,C10
71029,c10-1200045221,"WH SCO CHIVAS SILVER 40° 1.5L",,"CHIVAS REGAL",RICARD,c10,C10
84521,fb-109643,"WHISKY CHIVAS 25 ANS 40° COFFRET    70CL",84sogge-61,"CHIVAS REGAL",RICARD,fb,"FRANCE BOISSONS"
84522,fb-19581,"WHISKY CHIVAS REGAL 12 ANS 40°      70CL",84sogge-124,"CHIVAS REGAL",RICARD,fb,"FRANCE BOISSONS"
84580,fb-11373,"WHISKY CHIVAS REGAL 12 ANS 40°  MIGN 5CL",84sogge-205,"CHIVAS REGAL",RICARD,fb,"FRANCE BOISSONS"
84523,fb-17013,"WHISKY CHIVAS REGAL 18 ANS 40°      70CL",84sogge-94,"CHIVAS REGAL",RICARD,fb,"FRANCE BOISSONS"
83068,mp-7090,"CLAN CAMPBELL 100 CL 40°",,"CLAN CAMPBELL",RICARD,mp,DISTRIBOISSONS
71030,c10-1200053886,"TEMP WH CLAN CAMPBELL 40°70CLX6+Verre",,"CLAN CAMPBELL",RICARD,c10,C10
71031,c10-1200024665,"WH SCO CAMPBELL ELEMENTS EARTH 40° 70CL",,"CLAN CAMPBELL",RICARD,c10,C10
71032,c10-1200001665,"WH SCO CLAN CAMPBELL 10A 40° 70CL",,"CLAN CAMPBELL",RICARD,c10,C10
71033,c10-1200008430,"WH SCO CLAN CAMPBELL 12A 40° 70CL",,"CLAN CAMPBELL",RICARD,c10,C10
71034,c10-1200018145,"WH SCO CLAN CAMPBELL 40° 1.5L",,"CLAN CAMPBELL",RICARD,c10,C10
71035,c10-1200001468,"WH SCO CLAN CAMPBELL 40° 1L",,"CLAN CAMPBELL",RICARD,c10,C10
71036,c10-1200037363,"WH SCO CLAN CAMPBELL 40° 20CL",,"CLAN CAMPBELL",RICARD,c10,C10
71037,c10-1200001469,"WH SCO CLAN CAMPBELL 40° 2L",,"CLAN CAMPBELL",RICARD,c10,C10
71038,c10-1200001466,"WH SCO CLAN CAMPBELL 40° 35CL",,"CLAN CAMPBELL",RICARD,c10,C10
71039,c10-1200001470,"WH SCO CLAN CAMPBELL 40° 4.5L",,"CLAN CAMPBELL",RICARD,c10,C10
71040,c10-1200001465,"WH SCO CLAN CAMPBELL 40° 5CL X12",86sogge-322,"CLAN CAMPBELL",RICARD,c10,C10
71041,c10-1200001467,"WH SCO CLAN CAMPBELL 40° 70CL",,"CLAN CAMPBELL",RICARD,c10,C10
71042,c10-1200052180,"WH SCO CLAN CAMPBELL DARK 40°70CL X6",84sogge-299,"CLAN CAMPBELL",RICARD,c10,C10
84524,fb-11210,"WHISKY CLAN CAMPBELL 40°            70CL",84sogge-468,"CLAN CAMPBELL",RICARD,fb,"FRANCE BOISSONS"
84327,fb-14341,"WHISKY CLAN CAMPBELL 40°    GALLON 450CL",84sogge-333,"CLAN CAMPBELL",RICARD,fb,"FRANCE BOISSONS"
84321,fb-11251,"WHISKY CLAN CAMPBELL 40°    MAGNUM 200CL",84sogge-446,"CLAN CAMPBELL",RICARD,fb,"FRANCE BOISSONS"
84525,fb-112113,"WHISKY CLAN CAMPBELL DARK 40°       70CL",84sogge-299,"CLAN CAMPBELL",RICARD,fb,"FRANCE BOISSONS"
71043,c10-1200006425,"COF COGNAC COHIBA 43° 70CL",,COHIBA,RICARD,c10,C10
71044,c10-1200007377,"DJANGOA 17° 70CL",,DJANGOA,RICARD,c10,C10
82973,mp-9125,"LIQUEUR DJANGOA 70CL 17°",,DJANGOA,RICARD,mp,DISTRIBOISSONS
82679,mp-131628,"DUBONNET 100 CL 16°",,DUBONNET,RICARD,mp,DISTRIBOISSONS
84560,fb-103002,"DUBONNET 14,8°                      75CL",84sogge-174,DUBONNET,RICARD,fb,"FRANCE BOISSONS"
71045,c10-1200035707,"DUBONNET 14.8° 75CL",84sogge-174,DUBONNET,RICARD,c10,C10
71046,c10-1200001436,"DUBONNET 16° 1L",,DUBONNET,RICARD,c10,C10
71047,c10-1200001435,"DUBONNET 16° 5CL X144",,DUBONNET,RICARD,c10,C10
71048,c10-1200025375,"RAKI FESAYA 45° 70CL",,FESAYA,RICARD,c10,C10
71049,c10-1200001449,"BOURBON FOUR ROSES 40° 5CL X120",,"FOUR ROSES",RICARD,c10,C10
85604,fb-1200001450,"BOURBON FOUR ROSES 40° 70CL X6",,"FOUR ROSES",RICARD,fb,"FRANCE BOISSONS"
83008,mp-1084,"BOURBON FOUR ROSES 70 CL40°",84sogge-469,"FOUR ROSES",RICARD,mp,DISTRIBOISSONS
71050,c10-1200001447,"BOURBON FOUR ROSES BARREL 50° 70CL",,"FOUR ROSES",RICARD,c10,C10
71051,c10-1200001448,"BOURBON FOUR ROSES BARREL ETUI 43° 70CL",,"FOUR ROSES",RICARD,c10,C10
71052,c10-1200036554,"BOURBON FOUR ROSES KENTUCKY 40° 1L",,"FOUR ROSES",RICARD,c10,C10
