"entity_id","prod_sku","prod_libelle","sd_code_sogge","sd_marque","sd_volume","sd_conditionnement","rpd_grouping_code","rpd_libelle","semantic"
"68251","c10-1100001890","PAGO ABC ANANAS 1L PET X6","","PAGO","1L","PET","","",""
"68252","c10-1100002410","PAGO ABC ANANAS 20CL VP X12","","PAGO","20CL","BTL","","",""
"68253","c10-1100000741","PAGO ABC ANANAS 20CL VP X24","","PAGO","20CL","BTL","","",""
"68255","c10-1100002314","PAGO ABC ANANAS 75CL PET X6","","PAGO","75CL","PET","","",""
"68259","c10-1100005538","PAGO ABC ORANGE 10L BIB","","PAGO","10L","BIB","","",""
"68262","c10-1100002321","PAGO ABC ORANGE 75CL PET X6","","PAGO","75CL","PET","","",""
"68264","c10-1200006406","PAGO ABC PAMPLEMOUSSE 1.5L PET X6","","PAGO","1,5L","PET","","",""
"68265","c10-1100001896","PAGO ABC PAMPLEMOUSSE 10L BIB","","PAGO","10L","BIB","","",""
"68271","c10-1100000750","PAGO ABC POMME 20CL VP X24","","PAGO","20CL","BTL","","",""
"68272","c10-1100004401","PAGO ABC POMME 33CL PET X12","","PAGO","33CL","PET","","",""
"68274","c10-1100005154","PAGO ABC RHUBARBE 20CL VP X24","","PAGO","20CL","BTL","","",""
"68275","c10-1100005627","PAGO ABC RHUBARBE 33CL PET X12","","PAGO","33CL","PET","","",""
"68279","c10-1100002319","PAGO ABC TROPICAL MULTIVIT 75CL PET X6","","PAGO","75CL","PET","","",""
"84256","fb-100388","PAGO ABRICOT                 PET 6X100CL","","PAGO","","","","",""
"84257","fb-106214","PAGO ACE ORANGE CAROTTE CITRON  PET6X100","","PAGO","","","","",""
"84258","fb-97495","PAGO ANANAS                  PET 6X100CL","","PAGO","1L","PET","","",""
"84259","fb-100384","PAGO COCKT TROPICAL MULTIVITA PET6X100CL","","PAGO","1L","PET","","",""
"84260","fb-97498","PAGO CONCENTRE ORANGE        PET 6X100CL","","PAGO","1L","PET","","",""
"84262","fb-97497","PAGO CONCENTRE POMME         PET 6X100CL","","PAGO","1L","PET","","",""
"68294","c10-1100002317","PAGO CRANBERRY 75CL PET X6","","PAGO","75CL","PET","","",""
"68295","c10-1100002116","PAGO FIZZ CITRON VERT PET 50CL X12","","PAGO","50CL","PET","","",""
"68300","c10-1100002318","PAGO FRAISE 75CL PET X6","","PAGO","75CL","PET","","",""
"68301","c10-1100001856","PAGO FRAISE 75CL VP X6","","PAGO","75CL","BTL","","",""
"82248","mp-22148","PAGO GRENADE-FRAMBOISE 24X20CL","","PAGO","","","","",""
"85843","fb-99446","PAGO JUS ANANAS                 12X20CL","","PAGO","","","","",""
"82234","mp-2958","PAGO JUS RAISIN 24X20CL","","PAGO","","","","",""
"82244","mp-6260","PAGO MELON FRUITS SOLEIL 24/20","","PAGO","","","","",""
"68306","c10-1100002315","PAGO NECTAR ABRICOT 75CL PET X6","","PAGO","75CL","PET","","",""
"68307","c10-1100002322","PAGO NECTAR ACE 75CL PET X6","","PAGO","75CL","PET","","",""
"82194","mp-160454","PAGO NECTAR ANANAS  1 L X 6","","PAGO","","","","",""
"68313","c10-1100002316","PAGO NECTAR BANANE 75CL PET X6","","PAGO","75CL","PET","","",""
"68317","c10-1100002320","PAGO NECTAR MANGO 75CL PET X6","","PAGO","75CL","PET","","",""
"68319","c10-1100004553","PAGO NECTAR MANGUE PASSION 1L PET X6","","PAGO","1L","PET","","",""
"68320","c10-1100007386","PAGO NECTAR MYRTILLE 20CL VP X24","","PAGO","20CL","BTL","","",""
"68324","c10-1100003209","PAGO NECTAR ORANGE SANGUINE 20CL VP X12","","PAGO","20CL","BTL","","",""
"68329","c10-1100002323","PAGO NECTAR PECHE 75CL PET X6","","PAGO","75CL","PET","","",""
"82212","mp-120744","PAGO ORANGE 12X33CL","","PAGO","","","","",""
"84191","fb-99465","PAGO ORANGE CAROTTE CITRON      12X20CL","","PAGO","","","","",""
