entity_id,sku,libelle,result,sd_code_check,sd_code_sogge,sd_marque,sd_industriel,vendor_prefix,vendor_name
70935,c10-1200053885,TEMP VODKA ABSOLUT 40° 70CL X6 ED. LIM.,TEMP VODKA ABSOLUT 40° 6X70CL,1sogge-1,87sogge-7,ABSOLUT,RICARD,c10,C10
70936,c10-1200017576,VODKA ABSOLUT 4.5L,VODKA ABSOLUT 1X4.5L,1sogge-2,,ABSOLUT,RICARD,c10,C10
70937,c10-1200001473,VODKA ABSOLUT 40° 1.5L,VODKA ABSOLUT 40° 1X1.5L,1sogge-3,84sogge-1667,ABSOLUT,RICARD,c10,C10
70938,c10-1200056693,VODKA ABSOLUT 40° 1L,VODKA ABSOLUT 40° 1X1L,1sogge-4,,ABSOLUT,RICARD,c10,C10
70939,c10-1200001472,VODKA ABSOLUT 40° 35CL,VODKA ABSOLUT 40° 1X35CL,1sogge-5,,ABSOLUT,RICARD,c10,C10
70940,c10-1200001478,VODKA ABSOLUT 40° 5CL X120,VODKA ABSOLUT 40° 120X1.5L,1sogge-6,84sogge-541,ABSOLUT,RICARD,c10,C10
70941,c10-1200001479,VODKA ABSOLUT 40° 70CL,VODKA ABSOLUT 40° 1X70CL,1sogge-7,,ABSOLUT,RICARD,c10,C10
70942,c10-1200040047,VODKA ABSOLUT 50CL,VODKA ABSOLUT 1X50CL,1sogge-8,,ABSOLUT,RICARD,c10,C10
70943,c10-1200030639,VODKA ABSOLUT APEACH 40° 1L,VODKA ABSOLUT APEACH 40° 1X1L,1sogge-9,,ABSOLUT,RICARD,c10,C10
70944,c10-1200006590,VODKA ABSOLUT APEACH 40° 70CL,VODKA ABSOLUT APEACH 40° 1X70CL,1sogge-10,,ABSOLUT,RICARD,c10,C10
70945,c10-1200010769,VODKA ABSOLUT BERRI ACAI 40° 1L,VODKA ABSOLUT BERRI 40° 1X1L,1sogge-11,,ABSOLUT,RICARD,c10,C10
84478,fb-11212,VODKA ABSOLUT BLUE (SUEDE) 40°      70CL,VODKA ABSOLUT BLUE (SUEDE) 40° 1X70CL,1sogge-12,84sogge-467,ABSOLUT,RICARD,fb,FRANCE BOISSONS
84578,fb-11392,VODKA ABSOLUT BLUE (SUEDE) 40°  MIGN 5CL,VODKA ABSOLUT BLUE (SUEDE) 40° 1X5CL,1sogge-13,84sogge-541,ABSOLUT,RICARD,fb,FRANCE BOISSONS
83178,mp-150810,VODKA ABSOLUT BLUE 100 CL40°,VODKA ABSOLUT BLUE 40° 120X1L,1sogge-14,,ABSOLUT,RICARD,mp,DISTRIBOISSONS
70946,c10-1200033703,VODKA ABSOLUT CASSIS 40° 1L,VODKA ABSOLUT CASSIS 40° 1X1L,1sogge-15,,ABSOLUT,RICARD,c10,C10
70947,c10-1200005860,VODKA ABSOLUT CITRON 40° 70CL,VODKA ABSOLUT CITRON 40° 1X70CL,1sogge-16,84sogge-1590,ABSOLUT,RICARD,c10,C10
70948,c10-1200007399,VODKA ABSOLUT DARK 100 70CL,VODKA ABSOLUT DARK 120X70CL,1sogge-17,,ABSOLUT,RICARD,c10,C10
84479,fb-110232,VODKA ABSOLUT EDI LIMITEE      40° 70 CL,VODKA ABSOLUT EDITION LIMITEE 40° 1X70CL,1sogge-18,87sogge-7,ABSOLUT,RICARD,fb,FRANCE BOISSONS
70949,c10-1200044405,VODKA ABSOLUT ELYX 42.3° 1.5L,VODKA ABSOLUT ELYX 42.3° 1X1.5L,1sogge-19,,ABSOLUT,RICARD,c10,C10
70950,c10-1200047311,VODKA ABSOLUT ELYX 42.3° 1.75L,VODKA ABSOLUT ELYX 42.3° 1X1.75L,1sogge-20,,ABSOLUT,RICARD,c10,C10
70951,c10-1200044403,VODKA ABSOLUT ELYX 42.3° 3L,VODKA ABSOLUT ELYX 42.3° 1X3L,1sogge-21,,ABSOLUT,RICARD,c10,C10
70952,c10-1200049917,VODKA ABSOLUT ELYX 42.3° 4.5L,VODKA ABSOLUT ELYX 42.3° 1X4.5L,1sogge-22,,ABSOLUT,RICARD,c10,C10
70953,c10-1200038738,VODKA ABSOLUT ELYX 42.3° 70CL,VODKA ABSOLUT ELYX 42.3° 1X70CL,1sogge-23,84sogge-5,ABSOLUT,RICARD,c10,C10
84480,fb-109632,VODKA ABSOLUT ELYX 42°3 (6)         70CL,VODKA ABSOLUT ELYX 42.3° 6X70CL,1sogge-24,84sogge-5,ABSOLUT,RICARD,fb,FRANCE BOISSONS
84313,fb-109634,VODKA ABSOLUT ELYX 42°3 (6)       175 CL,VODKA ABSOLUT ELYX 42.3° 6X1.75L,1sogge-25,,ABSOLUT,RICARD,fb,FRANCE BOISSONS
70954,c10-1200031598,VODKA ABSOLUT FRAMBOISE 40° 1L,VODKA ABSOLUT FRAMBOISE 40° 1X1L,1sogge-26,,ABSOLUT,RICARD,c10,C10
70955,c10-1200005863,VODKA ABSOLUT KURANT 40° 70CL,VODKA ABSOLUT KURANT 40° 1X70CL,1sogge-27,,ABSOLUT,RICARD,c10,C10
84481,fb-112466,VODKA ABSOLUT LIME 40°              70CL,VODKA ABSOLUT LIME 40° 1X70CL,1sogge-28,84sogge-346,ABSOLUT,RICARD,fb,FRANCE BOISSONS
70956,c10-1200052771,VODKA ABSOLUT LIME 40° 70CL,VODKA ABSOLUT LIME 40° 1X70CL,1sogge-28,84sogge-346,ABSOLUT,RICARD,c10,C10
70957,c10-1200025915,VODKA ABSOLUT MANDARINE 40° 1L,VODKA ABSOLUT MANDARINE 40° 1X1L,1sogge-29,,ABSOLUT,RICARD,c10,C10
70958,c10-1200005861,VODKA ABSOLUT MANDARINE 40° 70CL,VODKA ABSOLUT MANDARINE 40° 1X70CL,1sogge-30,,ABSOLUT,RICARD,c10,C10
70959,c10-1200006591,VODKA ABSOLUT MANGO 40° 70CL,VODKA ABSOLUT MANGO 40° 1X70CL,1sogge-31,,ABSOLUT,RICARD,c10,C10
84314,fb-111362,VODKA ABSOLUT NIGHT               175 CL,VODKA ABSOLUT NIGHT 175CL,1sogge-32,,ABSOLUT,RICARD,fb,FRANCE BOISSONS
70960,c10-1200042993,VODKA ABSOLUT NIGHT 40° 1.75L,VODKA ABSOLUT NIGHT 40° 1X1.75L,1sogge-33,,ABSOLUT,RICARD,c10,C10
70961,c10-1200006592,VODKA ABSOLUT PEARS 40° 70CL,VODKA ABSOLUT PEARS 40° 1X70CL,1sogge-34,,ABSOLUT,RICARD,c10,C10
70962,c10-1200005862,VODKA ABSOLUT PEPPAR 40° 70CL,VODKA ABSOLUT PEPPAR 40° 1X70CL,1sogge-35,,ABSOLUT,RICARD,c10,C10
